Time,Category,Source,Headline,Sentiment_Score,Sentiment,Market_Impact,URL
2026-02-02 18:26,National (Pakistan),DAWN Business,KSE-100 rebounds after early sell-off to close over 800 points up,0.0,Neutral,Low,https://www.dawn.com/news/1970592/kse-100-rebounds-after-early-sell-off-to-close-over-800-points-up
2026-02-02 18:26,National (Pakistan),DAWN Business,NFC hits pause as working groups fail to meet,-0.837,Bearish,High,https://www.dawn.com/news/1970466/nfc-hits-pause-as-working-groups-fail-to-meet
2026-02-02 18:26,National (Pakistan),DAWN Business,The yellow metal road  to security,0.34,Bullish,Medium,https://www.dawn.com/news/1970562/the-yellow-metal-road-to-security
2026-02-02 18:26,National (Pakistan),DAWN Business,The technocratic illusion of why poverty exists,-0.511,Bearish,High,https://www.dawn.com/news/1970586/the-technocratic-illusion-of-why-poverty-exists
2026-02-02 18:26,National (Pakistan),DAWN Business,Equities end January on cautious note amid economic worries,-0.494,Bearish,Medium,https://www.dawn.com/news/1970360/equities-end-january-on-cautious-note-amid-economic-worries
2026-02-02 18:26,National (Pakistan),DAWN Business,"Trump says India will buy oil from Venezuela, not Iran",0.0,Neutral,Low,https://www.dawn.com/news/1970404/trump-says-india-will-buy-oil-from-venezuela-not-iran
2026-02-02 18:26,National (Pakistan),DAWN Business,World Bank to lend $379m for power transmission overhaul,0.0,Neutral,Low,https://www.dawn.com/news/1970363/world-bank-to-lend-379m-for-power-transmission-overhaul
2026-02-02 18:26,National (Pakistan),DAWN Business,"Diesel hiked by Rs11.30, petrol stays unchanged",0.0,Neutral,Low,https://www.dawn.com/news/1970312/diesel-hiked-by-rs1130-petrol-stays-unchanged
2026-02-02 18:26,National (Pakistan),DAWN Business,FBR’s tax collection rises 16pc in January,0.0,Neutral,Low,https://www.dawn.com/news/1970366/fbrs-tax-collection-rises-16pc-in-january
2026-02-02 18:26,National (Pakistan),DAWN Business,"Govt committed to reviving industry, says Haroon Akhtar",0.273,Bullish,Medium,https://www.dawn.com/news/1970362/govt-committed-to-reviving-industry-says-haroon-akhtar
2026-02-02 18:26,National (Pakistan),DAWN Business,China factory activity loses steam,-0.318,Bearish,Medium,https://www.dawn.com/news/1970361/china-factory-activity-loses-steam
2026-02-02 18:26,National (Pakistan),DAWN Business,FPCCI chief raises alarm over abrupt super tax recovery,0.361,Bullish,Medium,https://www.dawn.com/news/1970364/fpcci-chief-raises-alarm-over-abrupt-super-tax-recovery
2026-02-02 18:26,National (Pakistan),DAWN Business,"Gold sheds Rs61,050 per tola in two days",0.0,Neutral,Low,https://www.dawn.com/news/1970365/gold-sheds-rs61050-per-tola-in-two-days
2026-02-02 18:26,National (Pakistan),DAWN Business,"Local gold plunges by Rs35,500 per tola",0.0,Neutral,Low,https://www.dawn.com/news/1970054/local-gold-plunges-by-rs35500-per-tola
2026-02-02 18:26,National (Pakistan),DAWN Business,Cuts in solar power benefits on the cards,0.103,Bullish,Low,https://www.dawn.com/news/1970055/cuts-in-solar-power-benefits-on-the-cards
2026-02-02 18:26,National (Pakistan),DAWN Business,Aurangzeb pushes SECP for faster market reforms,0.0,Neutral,Low,https://www.dawn.com/news/1970053/aurangzeb-pushes-secp-for-faster-market-reforms
2026-02-02 18:26,National (Pakistan),DAWN Business,"Industrialists, exporters welcome relief package",0.727,Bullish,High,https://www.dawn.com/news/1970052/industrialists-exporters-welcome-relief-package
